breed_id,breed_name,breed_image,breed_group,Selling Price,height,min_height_cm,max_height_cm,weight,min_weight_kg,max_weight_kg,adaptability_value,friendliness_value,trainability_value,health_and_grooming_needs_value,physical_needs_value,life_span,monthly_expences,min_monthly_ecxpences,max_monthly_expences,highlights
52,Akita Chow,https://www.dogtime.com/assets/uploads/2020/04/akita-chow-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 60,000 - LKR 75,000",23 to 25 inches,58.42,63.5,88 to 145 pounds,39.92,65.77,3,1,3,3,4,10 to 12 years,"LKR 20,000 - LKR 28,000","LKR 20,000.00","LKR 28,000.00","The Akita Chow is a mixed breed dog. They are not purebreds like their Akita or Chow Chow parents. The Akita Chow's energy levels may vary, but this dog will need a rigorous exercise schedule. 60 minutes of walking a day is a good starting point. While this dog is not a top choice for allergy sufferers, their coat is easy to groom and may only require a brushing three to four times a week. The main colors of Akita Chows are silver, fawn, red, brown, black, and white. Sometimes their coats are solid, and sometimes they have a mix of two colors. When raised with children, Akita Chows can do well with them, but they're not known to be playful dogs and may not put up with rough and tumble play from a young child. These dogs do not do well when they're left alone for long periods of time. They may get anxious and engage in destructive or unwanted behavior. Akita Chows are often described as intelligent and independent thinkers, which means you'll have your hands full with training. When welltrained and socialized, you could not ask for a better, more obedient dog. The Akita Chowÿwould most likely prefer to be an only pet so they can dominate their human parents' attention."
53,Catahoula Bulldog,https://www.dogtime.com/assets/uploads/2019/08/catahoula-bulldog-mixed-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 45,000 - LKR 60,000",24 to 26 inches,60.96,66.04,75 to 100 pounds,34.02,45.36,2,3,3,3,5,10 to 14 years,"LKR 18,000 - LKR 25,000","LKR 18,000.00","LKR 25,000.00","You'll need to be able to commit to at least two long walks every day, ideally with the option of swimming or breaking into a run. This is not a a dog that will do well living in an apartmentand destructive behavior might occur due to boredom and restlessness. These dogs posses short, dense, and straight coats that are often described as looking glossy. Weekly brushings will suffice for the breed.ÿShedding is very low, too. Catahoula Bulldogs come in a range of colors. They can be all white or all dark, or they can come in a mix that also includes gray and brown. Catahoula Bulldogs are some of the most loyal dogs around. They can act as guardians and protectors of young childrenalthough when dealing with such a powerful dog, it's imperative that the breed is trained and socialized correctly from a very young age. Catahoula Bulldogs are mixed breed dogs. They are not purebreds like their Catahoula Leopard Dog or American Bulldog parents."
54,Samusky,https://www.dogtime.com/assets/uploads/2019/12/samusky-mixed-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 70,000 - LKR 85,000",20 to 24 inches,50.8,60.96,45 to 60 pounds,20.41,27.22,3,4,3,3,4,12 to 15 years,"LKR 20,000 - LKR 28,000","LKR 20,000.00","LKR 28,000.00","Samuskies may not be the best option for allergy sufferers. They shed a lot and require daily brushing to minimize shedding and maintain a healthy coat. Make sure this active mixed breed gets at least one solid halfhour to hourlong walk a day along with a few active play sessions and shorter walks mixed in. The main colors of Samusky dogs areÿwhite, cream, fawn, gray, red, sable, and agouti, which is a pattern where each hair has alternating dark and light bands. Sometimes their coats are solid, and sometimes they have a mix of colors. The Samusky is generally a sociable, easygoing dog who can get along with almost anyone. However,ÿthey do tend to pick a favorite human and stick with them. Samuskiesÿhave high energy and can become bored easily, so they need lots of mental stimulation, or they'll invent their own ways to stay entertained. These dogs tend to be escape artists when bored. Samuskies are mixed breed dogs. They are not purebreds like their Samoyed or Siberian Husky parents."
55,Mountain Cur,https://www.dogtime.com/assets/uploads/2020/07/mountain-cur-dog-breed-pictures-cover.jpg,Working Dogs,"LKR 40,000 - LKR 55,000",16 to 26 inches,40.64,66.04,30 to 60 pounds,13.61,27.22,3,3,3,3,4,10 to 16 years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","The Mountain Cur is a fearless watchdog and will fight to protect their territory and those who live in it. They are wary of strangers, but once they know the newcomers aren?t a threat, they'll gradually warm up to them. Mountain Curs can be rather affectionate with children and make wonderful family dogs. This is a rugged, tough, and muscular breed, so make sure to teach children how to approach the dog and how to safely interact with them. The Mountain Cur is a very high energy dog breed and needs both mental and physical stimulation daily to prevent destructive behavior from occurring.ÿSince they were bred to perform tasks, they always need to have a job to do. Even with early socialization, the Mountain Cur should not live with cats due to their intense prey drive. As far as other dogs, the Mountain Cur is usually quite wary of them, and introductions to new dogs must be done very slowly. Even when raised with other dogs, they sometimes simply will not get along. The Mountain Cur has a coat that comes in black, tan, brown, yellow, brindle, and black and brindle. They may have white points on their coats as well. The Mountain Cur sheds twice a year in the spring and in the fall and are not allergyfriendly dogs. They require very little grooming, only needing to be brushed once a week and only bathed when necessary."
56,Auggie,https://www.dogtime.com/assets/uploads/2019/09/auggie-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 50,000 - LKR 65,000",10 to 13 inches,25.4,33.02,20 to 30 pounds,9.07,13.61,3,5,4,3,5,12 to 15 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","Auggies are often tricolored, but they can also have just two colors or even one. Their coats are typically a combination of black, tan, brown, and white. Auggies are mixed breed dogs. They are not purebreds like their Corgi or Australian Shepherd parents. These dogs shed moderately most of the year, but when the seasons change for winter and summer, they shed quite a bit while growing in their new coats."
57,Texas Heeler,https://www.dogtime.com/assets/uploads/2020/02/texas-heeler-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 45,000 - LKR 60,000",16 to 22 inches,40.64,55.88,25 to 50 pounds,11.34,22.68,3,3,4,3,4,12 to 15 years,"LKR 18,000 - LKR 25,000","LKR 18,000.00","LKR 25,000.00","Texas Heelers are spirited and hardworking. They're happiest when they're working in some capacity, and their aim to please and work is also what makes them such excellent service dogs. Texas Heelersÿhave high energy levels. Make sure your Texas Heeler gets two to three good, halfhour to hourlong walks per day with a few good, active play sessions and shorter walks mixed in. Since they are a herding mixed breed, Texas Heelers can get a little snippy or try to nip the heels of smaller children who do not know how to properly interact with them. When it comes to other pets, Texas Heelers can get along with other animals, but theyÿare herding dogs, and they may try to herd any nondog animals as they would cattle or sheep. The Texas Heeler is a mixed breed dog. They are not purebreds like their Australian Cattle Dog or Australian Shepherd parents. The main colors of Texas Heelers are black, blue merle, and blue ticked with white or fawn. Sometimes their coats are solid, but more often than not they have a mix of colors. They are moderate shedders, which might not make them a good choice for allergy sufferers. Fortunately, the Texas Heeler's coat is easy to groom. A good brushing every few days should do."
58,Fila Brasileiro,https://www.dogtime.com/assets/uploads/2020/06/Fila-Brasileiro-dog-breed-pictures-1-1442x961.jpg,Working Dogs,"LKR 60,000 - LKR 75,000",24 to 30 inches,60.96,76.2,90 to 180 pounds,40.82,81.65,2,2,3,4,4,9 to 12 years,"LKR 22,000 - LKR 30,000","LKR 22,000.00","LKR 30,000.00","Filas can get along with other dogs their size but tend to view anything smaller as prey. Even with consistent training, Filas are hardwired to chase down small animals like cats and smaller pups, and will likely be best suited as the only animal in the home. The Fila Brasileiro's coat can be brindle, fawn, or black. Sometimes, a Fila may have a black mask. Your Fila may not take well to other kids, like playmates, so it is important to set up boundaries for both the dog and kids. Teach your children how to properly interact with your Fila Brasileiro to prevent any unwanted injuries. Their coats are smooth and shorthaired, and they shed regularly. This means they don't make great choices for allergy sufferers. Fila Brasileiros have high energy levels. Make sure your dog gets at least two to three good halfhour to hourlong walks per day with a few good, active play sessions and shorter walks mixed in. The Brazilian Mastiff was bred to be loyal only to their owners, which means that consistent and early socialization is key to raising a Fila Brasileiro who won't become aggressive around visitors or strangers."
59,German Spitz,https://www.dogtime.com/assets/uploads/2019/10/german-spitz-dog-breed-pictures-cover-650x368.jpg,Companion Dogs,"LKR 40,000 - LKR 55,000",12 to 15 inches,30.48,38.1,21 to 29 pounds,9.53,13.15,3,4,4,3,4,13 to 15 years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","These small pups can be wary of strangers and are vocal, so they might bark around people they don't know. They have a high pitch bark that sounds ""yappy"" to some. The German Spitz has a double coat; the undercoat is soft, short, and wooly, and over it, a long, fibrous layer makes up the topcoat. They'll need a good brushing several times a week. German Spitzes are intelligent, but can be stubborn. They need strongwilled, consistent trainers. These dogsÿhave high energy levels. Make sure they get at least one good halfhour to hourlong walk per day with a few good, active play sessions and shorter walks mixed in. German Spitzes have a high prey drive and enjoy games where they can chase toys. The Standard German Spitz comes in a wider variety of coat colors than some of its Spitz cousins, including black, brown, orange, wolf gray, and white. Because the German Spitz is a small dog, they can be easily injured by overly excited children. German Spitzes prefer to be mostly around adults or older kids who know how to play gently."
60,Saluki,https://www.dogtime.com/assets/uploads/2011/01/file_23044_saluki-300x189.jpg,Hound Dogs,"LKR 60,000 - LKR 75,000",23 to 28 inches,58.42,71.12,35 to 70 pounds,15.88,31.75,2,4,4,3,4,12 to 14 years,"LKR 18,000 - LKR 24,000","LKR 18,000.00","LKR 24,000.00","One of the oldest ofÿdog breeds, Salukis were once considered a gift from Allah. They?re fast as the wind, skinny as a supermodel, and quietly devoted to their people.Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you"
61,Belgian Tervuren,https://www.dogtime.com/assets/uploads/2011/01/file_23176_belgian-tervuren-460x290.jpg,Herding Dogs,"LKR 70,000 - LKR 85,000",21 to 26 inches,53.34,66.04,40 to 70 pounds,18.14,31.75,3,3,4,3,4,10 to 12 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","Created in Belgium in the late 19th century, the Belgian Tervurenÿdog breedÿis often considered to be the most elegant of the four Belgian sheepdogs. They?re intelligent and athletic, making them a versatile performer in any number of activities, including their original job,ÿherding."
62,Portuguese Sheepdog,https://www.dogtime.com/assets/uploads/2020/07/portuguese-sheepdog-breed-pictures-cover-650x368.jpg,Herding Dogs,"LKR 50,000 - LKR 65,000",16 to 22 inches,40.64,55.88,37 to 59 pounds,16.78,26.76,3,4,3,3,4,12 to 13 years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","Portuguese Sheepdogs have high energy.ÿThey'll require daily exercise in the form of playing, hiking, walking, and staying mentally stimulated by learning new tricks and commands. Make sure to be consistent with training and use positive reinforcement. The Portuguese Sheepdogÿneeds a firm, loving pet parent. While they're not a great choice for allergy sufferers, Portuguese Sheepdogs are easy to groom. The PortugueseÿSheepdog is a sturdy dog and will bond and play well with kids, but their herding instincts might kick in. Playtime should always be supervised. The Portuguese Sheepdog will usually get along great with cats and other dogs, but supervising is important, as they may try to establish dominance. The Portuguese Sheepdog's coat comes in a variety of colors, the most common being yellow, black, gray, and fawn. Sometimes their coats are solid, and sometimes a combination of these colors. The Portuguese Sheepdog is devoted to their family but is naturally wary of strangers. They make excellent companions and watchdogs."
63,ChiPoo,https://www.dogtime.com/assets/uploads/2019/08/chi-poo-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 35,000 - LKR 50,000",5 to 15 inches,12.7,38.1,5 to 20 pounds,2.27,9.07,4,4,4,2,3,12 to 15 years,"LKR 14,000 - LKR 18,000","LKR 14,000.00","LKR 18,000.00","ChiPoos can adapt to any living situation. Apartment or large home, single person or big family, they will fit in anywhere. ChiPoos are mixedbreed dogs. They are not purebreds like their Chihuahua or Poodle parents. ChiPoos aren't particularly suited for extreme weather. They handle heat better than cold, but you may need to apply doggy sunscreen in summer. The main colors of ChiPoos are; cream, brown, blue, brindle, silver, grey, fawn, white, and black. Sometimes their coats are solid, and sometimes they have a blend of of colors. Because the ChiPoo is a small dog, they can be easily injured by overly excited children. ChiPoos prefer to be mostly around adults or older kids who know how to play gently. These dogsÿusually have medium length coats, and they're generally considered to be a good choice for allergy sufferers. There are longercoated ChiPoos, as well as shorter coated ChiPoos."
64,Boxweiler,https://www.dogtime.com/assets/uploads/2019/12/boxweiler-mixed-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 55,000 - LKR 70,000",21 to 27 inches,53.34,68.58,70 to 100 pounds,31.75,45.36,3,4,3,3,4,8 to 13 years,"LKR 20,000 - LKR 26,000","LKR 20,000.00","LKR 26,000.00","These pups have short coats, though they are still moderate shedders. They are not hypoallergenic dogs. The main colors of the Boxweiler coats are fawn, black, brindle, white, and brown. Sometimes their coats are solid, and sometimes they have a mix of colors. Boxweilers are mixed breed dogs. They are not purebreds like their Boxer or Rottweiler parents The Boxweiler may prefer to be mostly around adults and older kids who know how to play gently. Boxweilers aren't naturally fond of other animals and may prefer to be the solo pet in the household. Boxweilers can be stubborn sometimes but are highly intelligent and can be easy to house train if you are energetic and consistent with their training. They can make great guardians or watchdogs of the household. Boxweilers need at least one good halfhour to hourlong walk per day with a few good, active play sessions and shorter walks mixed in."
65,Bordoodle,https://www.dogtime.com/assets/uploads/2019/09/bordoodle-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 60,000 - LKR 75,000",12 to 22 inches,30.48,55.88,30 to 60 pounds,13.61,27.22,4,4,3,3,3,12 to 15 years,"LKR 17,000 - LKR 23,000","LKR 17,000.00","LKR 23,000.00","Bordoodles don't shed too much. Brushing your dog one or two times a week should suffice. Bordoodles come in a range of coat colors and patterns, usually incorporating a mix of black, white, gray and brown. The Bordoodle is a mixed breed dog. They are not purebreds like their Border Collie or Poodle parents. These dogs are extremely smart, but that intelligence can sometimes manifest itself in destructive behavior if the dog is left alone or not properly trained. A couple of walks every day, totaling around 45 minutes, should do the trick to keep the dog happy and healthy. Although, due to the mixed breed's intelligence, it's of great benefit to incorporate obedience tasks into the exercise mix to keep the dog alert. Children and Bordoodles are a great mix. In general, you couldn't ask for a better family dog than the Bordoodle. It's still important to supervise playtime with all kids and dogs."
66,Gollie,https://www.dogtime.com/assets/uploads/2019/09/gollie-mixed-dog-breed-pictures-1-1-650x368.jpg,Mixed Breed Dogs,"LKR 40,000 - LKR 55,000",22 to 26 inches,55.88,66.04,50 to 75 pounds,22.68,34.02,3,5,3,3,4,12 to 15 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","The Gollie is a mixed breed dog. They are not purebreds like their Golden Retriever or Collie parents. The most common coat colors for Gollies are black, brown, gold, and white. They can either be one shade all over, or a combination of two or three colors. The Gollie is a dog with high energy and exercise needs. Consider one hour the absolute bare minimum amount of exercise and outdoor time you need to provide every single day. The dog does not enjoy being left alone for long periods of time. This is definitely not a mixed breed to consider if you live in an apartment and are gone for most of the day. Gollies and kids get along great together. The dog is playful and tolerant, which means even young children form close bonds with the dog. This is a mixed breed that definitely sheds a lot. Daily brushings are going to be key to keeping the coat in healthy condition."
67,Havapoo,https://www.dogtime.com/assets/uploads/2020/11/havapoo-hybrid-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 45,000 - LKR 60,000",8 to 15 inches,20.32,38.1,7 to 30 pounds,3.18,13.61,4,4,4,2,3,10 to 14 years,"LKR 14,000 - LKR 18,000","LKR 14,000.00","LKR 18,000.00","This hybrid is considered ""hypoallergenic"" and may be a good choice for allergy sufferers; however, no dog is completely allergen free. Havapoos come in many different colors and combinations and can be solid, two colors, or three colors. These colors include black, white, brown, tan, grey, silver, apricot, ""blue"" (dark in the hair shaft, like black or brown, but a mix of colors at the root). Havapoosÿaren't ""yappy,"" per se, but they will often bark to alert you of strangers or to make exclamations while playing with you. Havapoos are smart, but their intelligence can also be used for mischievous ends if your dog feels bored or neglected. Be sure to provide them with lots of stimulation in the form of affection, play, and toys. Havapoos also tend to get along well with other animals. However, they are small and docile. Some more aggressive or rowdy animals in the house may not treat Havapoos gently enough. Havapoos have medium energy, and due to their small size, it is pretty easy to manage their exercise needs. Because Havapoos are small dogs, it's important that children know how to be gentle with them. However, the natural playfulness of the Havapoo makes them a great childhood playmate or adult companion."
68,Golden Retriever,https://www.dogtime.com/assets/uploads/2011/01/file_22980_golden-retriever-300x189.jpg,Sporting Dogs,"LKR 80,000 - LKR 100,000",21 to 24 inches,53.34,60.96,55 to 75 pounds,24.95,34.02,3,5,4,4,4,10 to 12 years,"LKR 20,000 - LKR 28,000","LKR 20,000.00","LKR 28,000.00","The Golden Retriever is one of the most popularÿdog breedsÿin the United States. The breed?s friendly, tolerant attitude makes them great family pets, and their intelligence makes them highly capable working dogs.Golden Retrievers excel at retrieving game for hunters, tracking, sniffing out contraband for law enforcement, and as therapy and service dogs."
69,Cavachon,https://www.purina.co.uk/sites/default/files/styles/nppe_breed_selector_500/public/2023-10/BREED%20Hero%20Cavachon2_0.jpg?itok=pQYpMiSA,Mixed Breed Dogs,"LKR 50,000 - LKR 65,000",12 to 13 inches,30.48,33.02,15 to 35 pounds,6.8,15.88,4,5,3,3,4,10 to 15 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","Cavachons are fairly easy to groom. Aÿgood brushing three to four times a week should do the trick. Cavachons are mixed breed dogs. They are not purebreds like their Cavalier King Charles Spaniel or Bichon Frise parents. The main colors of Cavachons are cream, white, and pied. Few coats are solid, and they almost always have a combination of colors. Cavachons usually have mediumlength coats, and they're generally considered to be a good choice for allergy sufferers. There are longercoated Cavachons, too, though they may not be as allergy friendly. Most Cavachons get along well with children and love to play. However, as with all dogs, play time should be supervised. The Cavachon is social and enjoys the company of other dogs, as long as they receive their fair share of attention from their owner."
70,Boxmatian,https://www.dogtime.com/assets/uploads/2019/09/boxmatian-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 45,000 - LKR 60,000",19 to 25 inches,48.26,63.5,50 to 90 pounds,22.68,40.82,2,3,4,4,5,10 to 13 years,"LKR 17,000 - LKR 23,000","LKR 17,000.00","LKR 23,000.00","The Boxmatian is a mixed breed dog. They are not purebreds like their Boxer or Dalmatian parents. In general, the Boxmatian is a dog that prefers to be in warmer rather than colder climates. This mixed breed is very active.ÿIf you're not an outdoors person and don't have access to large areas where the dog can safely run around and swim and play, then the Boxmatian is probably not the dog for you. Boxmatians aren't the best dogs for homes with children or other pets, but with early socialization and training, they can be loyal, protective family members. The Boxmatian is a dog with exceptionally high energy and exercise needs. If you cannot commit to a bare minumum of one hour of exercise every single day, you risk bringing on weight issues. Dalmations are known for their distinctive spotted coat, but not all Boxmatian's will necessarily pick up the spotted trait. The breed's coat can be black, white, or pied."
71,Pomapoo,https://www.dogtime.com/assets/uploads/2019/08/pomapoo-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 40,000 - LKR 55,000",8 to 10 inches,20.32,25.4,5 to 15 pounds,2.27,6.8,3,4,3,2,3,12 to 15 years,"LKR 14,000 - LKR 18,000","LKR 14,000.00","LKR 18,000.00","They usually have short to medium length coats and are light shedders. If the Pomapoo inherits their Poodle parent's coat, then they could be hypoallergenic. Pomapoos have moderate energy levels and don't require too much exercise. One walk per day should suffice. Pompoos do not like isolation, so multiple dog homes just might be ideal. Pomapoos are mixed breed dogs. They are not purebreds like their Pomeranian or Poodle parents. The main colors of Pomapoos are brown, black, white, red, fawn, and sable. Sometimes their coats are solid, and sometimes they have a mix of colors. Because the Pomapoo is a small dog, they can be easily injured by overly excited children. Pomapoos are friendly and very loving with children who know how to interact gently."
72,Lagotto Romagnolo,https://www.dogtime.com/assets/uploads/2018/07/lagotto-romagnolo-dog-breed-pictures-header-460x260.jpg,Sporting Dogs,"LKR 70,000 - LKR 85,000",14 to 19 inches,35.56,48.26,24 to 35 pounds,10.89,15.88,3,3,3,2,4,14 to 17 years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","Lagotto Romagnolo means ?lake dog from Romagna,? which is a good name for this breed, considering these dogs originally helped hunt waterfowl through the wet marshlands of Romagna in Italy."
73,Bohemian Shepherd,https://www.dogtime.com/assets/uploads/2020/04/Bohemian-Shepherd-dog-breed-pictures-cover.jpg,Herding Dogs,"LKR 55,000 - LKR 70,000",19 to 22 inches,48.26,55.88,35 to 60 pounds,15.88,27.22,3,4,3,3,4,10 to 15 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","When it comes to training, they need an owner who's patient and firm. These dogs are extremely intelligent and become bored quickly, so training sessions must be interesting with plenty of positive reinforcement. The Bohemian Shepherd?s coat color is black and tan. The tan markings appear above the eyes, around the ears, on the muzzle, and on feet and underside. The Bohemian Shepherd is said to get along great with other dogs, cats, and small pets in the household. The Bohemian Shepherd is an average shedder with heavier shedding occurring seasonally. They are not considered to be allergy friendly and require weekly brushing. Bohemian Shepherdsÿhave higher energy needs. Agility training, obedience training, or a trip to the dog park will help burn off that energy. Make sure you give your dog at least one hourlong walk per day. The Bohemian Shepherd is a great choice for families with children. They adore kids and will love and protect the children in their household. These dogs do not like being left alone for long periods of time. They are very social and do best in homes with a backyard to run in and multiple people to help care for them."
74,Corgidor,https://www.dogtime.com/assets/uploads/2019/07/corgidor-mixed-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 60,000 - LKR 75,000",12 to 23 inches,30.48,58.42,40 to 55 pounds,18.14,24.95,3,4,3,4,4,10 to 15 years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","Corgidors'ÿshort to medium coats protect them in cold weather. They usually require minimal grooming, though they are prone to shedding. The main colors of Corgidors are brown, black, red, and tan. Sometimes their coats are solid, and sometimes they have a mix of colors and fur types. While not overly yappy, Corgidors make excellent watch dogs. Corgidors are mixed breed dogs. They are not purebreds like their Labrador or Corgi parents. Corgidors are very loving and patient with children of all ages. Corgidors can adapt to apartment living with active owners butÿwould really thrive in a big house with a yard and space to run."
75,Lab Pointer,https://www.dogtime.com/assets/uploads/2019/09/lab-pointer-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 50,000 - LKR 65,000",22 to 28 inches,55.88,71.12,35 to 80 pounds,15.88,36.29,3,4,4,3,4,10 to 15 years,"LKR 18,000 - LKR 24,000","LKR 18,000.00","LKR 24,000.00","The Lab Pointer is a mixed breed dog. They are not purebreds like their Labrador Retriever or Pointer parents. Lab Pointers can have a higher than usual prey drive, so make sure not to leave them unsupervised. The most common colors of coat for a Lab Pointer are creamy white, brown, and black. Exercise and outdoor time is vital to the Lab Pointer. Walks should be on the longer side and you'll definitely need access to an offleash dog park or a safe place where dogs can run around freely. Lab Pointer dogs and children get on great together. They will form strong bonds and become playmates, but early training and socialization is very important. As the Lab Pointer is a relatively low maintenance breed, you will only need to brush the dog occasionally; although during the hotter months, the breed will shed more, so you'll need to up the frequency of brushing sessions."
76,Corman Shepherd,https://dogtime.com/wp-content/uploads/sites/12/gallery/corman-shepherd-mixed-dog-breed-pictures/corman-shepherd-mixed-dog-breed-pictures-4.jpg,Mixed Breed Dogs,"LKR 45,000 - LKR 60,000",12 to 15 inches,30.48,38.1,20 to 70 pounds,9.07,31.75,3,4,3,3,4,10 to 15 years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","Corman Shepherds have high energy levels. Make sure your dog gets at least one good halfhour to hourlong walk per day with a few good, active play sessions and shorter walks mixed in. The Corman Shepherd is a very friendly dog, and many enthusiasts love how well they interact with the children in their families. They can, however, be very protective and aloof around strangers or new pets. Your Corman Shepherd will likely have blowing seasons to shed their seasonal coats. Brush your Corman Shepherd on a daily basis to keep fur tumbleweeds from taking over your home. The main colors of Corman Shepherds are gold, white, brown and black. Rarely will you find a solidcolored Corman Shepherd; their coats are often a blend of two or more colors. Corman Shepherds are also highly intelligent, which means they can get bored easily. Be sure to provide your Corman Shepherd mixed breed dog plenty of mental stimulation, or they may engage in destructive or unwanted behaviors. You may find that your Corman Shepherd tries to herd you or other humans. They can be somewhat stubborn, so it is good to curb this type of behavior early on with the proper training. Corman Shepherds are mixed breed dogs. They are not purebreds like their Corgi and German Shepherd Dog parents."
77,Labernese,https://www.dogtime.com/assets/uploads/2019/08/labernese-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 55,000 - LKR 70,000",24 to 28 inches,60.96,71.12,65 to 110 pounds,29.48,49.9,3,4,3,3,4,6 to 12 years,"LKR 18,000 - LKR 24,000","LKR 18,000.00","LKR 24,000.00","Labernese dogs and kids are a natural match. The breed is social and friendly and will love to take part in play sessions with the kids. Just be warned: Due to the dog's large size, supervision is advised when playing with very small children. The Labernese's coat is medium in length and usually described as feeling dense and a little wavy in texture. This is a breed that will shed a lotyou'll want to commit to daily brushing sessions. The most common Labernese color is black, although the breed can also be spotted in shades of chocolate, white, and yellow. The dogs can either be solid, or a mix of two or three colors. Like most large dogs, the Labernese will require a lot of exercise to stay in top condition. A fencedin yard will be greatbut even better will be access to a park with offleash hours. Laberneses are mixed breed dogs. They are not purebreds like their Bernese Mountain Dog or Labrador Retriever parents."
78,Peekapoo,https://www.dogtime.com/assets/uploads/2011/01/file_23222_peekapoo-460x290.jpg,Hybrid Dogs,"LKR 40,000 - LKR 55,000",10 to 11 inches,25.4,27.94,4 to 20 pounds,1.81,9.07,4,4,3,2,3,10 to 15 years,"LKR 14,000 - LKR 18,000","LKR 14,000.00","LKR 18,000.00","A Peekapoo is hybridÿdog breedÿ? a cross between theÿPekingese and Poodle breeds. The mix makes for a wonderfulÿcompanion dogÿwho will spend their days perched on your lap or sitting by your side.Although these dogs got their start as a designer breed, you may still find them in the care of shelters and rescue groups. Adopt! Don?t shop if you want to bring a dog home!"
79,Schipperke,https://www.dogtime.com/assets/uploads/2011/01/file_23158_schipperke-300x189.jpg,Companion Dogs,"LKR 40,000 - LKR 55,000",10 to 15 inches,25.4,38.1,11 to 18 pounds,4.99,8.16,3,3,3,3,5,13 to 15 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","Curious and clever, the Schipperkeÿdog breedÿis often nicknamed LBD, for little black devil. They?re fearless and devoted, always on guard to protect their family from harm.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember to adopt! Don?t shop if you want to bring a dog home."
80,Azawakh,https://www.purina.co.uk/sites/default/files/styles/nppe_breed_selector_500/public/2021-12/GettyImages-856980022%20%282%29.jpg?itok=G7IOaQPg,Hound Dogs,"LKR 70,000 - LKR 85,000",23 to 27 inches,58.42,68.58,33 to 55 pounds,14.97,24.95,3,3,3,3,3,12 to 15 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","Aÿdog breedÿnamed for the Azawakh Valley in the Sahara desert where they originated, this is a lean and swift hunter with a regal presence. They?re proud but loyal and protective of their home and family."
81,Bolognese,https://www.purina.co.uk/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/bolognese.jpg?itok=9MJn9tF2,Companion Dogs,"LKR 50,000 - LKR 65,000",9 to 12 inches,22.86,30.48,8 to 14 pounds,3.63,6.35,3,5,4,2,3,12 to 14 years,"LKR 14,000 - LKR 18,000","LKR 14,000.00","LKR 18,000.00","A true companion dog, the Bologneseÿdog breedÿloves to be at their family?s side. However, they also loves getting their way and can be quite crafty about it, so be careful ? you could find yourself being manipulated by a ten-pound furball."
82,Aussiepom,https://www.dogtime.com/assets/uploads/2019/07/aussiepom-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 55,000 - LKR 70,000",11 to 17 inches,27.94,43.18,10 to 30 pounds,4.54,13.61,3,4,3,3,4,12 to 15 years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","Aussiepoms are mixed breed dogs. They are not purebreds like their Australian Shepherd or Pomeranian parents. The main colors of Aussiepoms are red merle, blue merle, tricolor, and sometimes they can have a solid coat with tiny marks here and there. Aussiepoms are great with all members of the family, though they are small and can easily be injured by overly excited children. Make sure all kids are taught how to handle dogs gently before making introductions or having play sessions. The Aussiepom may not be an ideal dog for allergy sufferers due to the length of their coat. However, their thick, fluffy coats also protect them from hot or cold climates. Aussiepoms have high energy and need plenty of exercise and play time."
